panel,metric,direction,left_experiment,left_value,right_experiment,right_value,split,num_samples
candidate_reranking,target_pcset_coverage,higher,vanilla_transformer,0.9962548492987168,proposed_constraint_guided_transformer,0.9998507908087139,test,2000
condition_removal,target_pcset_coverage,higher,vanilla_transformer,0.9962548492987168,without_pcset_constraints,0.5592808116980006,test,2000
candidate_reranking,interval_vector_distance,lower,vanilla_transformer,0.23903312444046554,proposed_constraint_guided_transformer,0.004476275738585497,test,2000
condition_removal,interval_vector_distance,lower,vanilla_transformer,0.23903312444046554,without_pcset_constraints,6.626678603401969,test,2000
candidate_reranking,row_order_accuracy,higher,vanilla_transformer,0.15805786166878735,proposed_constraint_guided_transformer,0.24113495902386978,test,2000
condition_removal,row_order_accuracy,higher,vanilla_transformer,0.15805786166878735,without_serial_constraints,0.08043003749265454,test,2000
candidate_reranking,rhythmic_profile_distance,lower,vanilla_transformer,0.5112644598409534,proposed_constraint_guided_transformer,0.5041416728682816,test,2000
condition_removal,rhythmic_profile_distance,lower,vanilla_transformer,0.5112644598409534,without_rhythm_constraints,0.5803056334927678,test,2000
candidate_reranking,gesture_consistency_score,higher,vanilla_transformer,0.4771822717041908,proposed_constraint_guided_transformer,0.49373756576765254,test,2000
condition_removal,gesture_consistency_score,higher,vanilla_transformer,0.4771822717041908,without_gesture_constraints,0.38180048267544453,test,2000
