endpoint,metric,label,subset,higher_is_better,effect_orientation,n,single_mean,reranked_mean,raw_difference_reranked_minus_single,favorable_improvement,ci95_low,ci95_high,win_rate,tie_rate,loss_rate
pcset_coverage:all,pcset_coverage,PC coverage,all,True,positive favors constraint reranking,2000,0.9952916666666666,0.9941166666666666,-0.0011750000000000003,-0.0011750000000000003,-0.003575,0.001108333333333333,0.012,0.9785,0.0095
pcset_coverage:non-serial,pcset_coverage,PC coverage,non-serial,True,positive favors constraint reranking,1086,0.9942756292203806,0.9995089011663597,0.005233271945979128,0.005233271945979128,0.0031461019030079797,0.007627762430939221,0.022099447513812154,0.9779005524861878,0.0
pcset_coverage:serial,pcset_coverage,PC coverage,serial,True,positive favors constraint reranking,914,0.9964989059080962,0.987709700948213,-0.008789204959883296,-0.008789204959883296,-0.01325674690007294,-0.004814004376367615,0.0,0.9792122538293216,0.020787746170678335
interval_vector_distance:all,interval_vector_distance,IV distance,all,False,positive favors constraint reranking,2000,26.2535,25.777,-0.4765,0.4765,0.3345,0.643,0.043,0.9565,0.0005
interval_vector_distance:non-serial,interval_vector_distance,IV distance,non-serial,False,positive favors constraint reranking,1086,0.27624309392265195,0.016574585635359115,-0.2596685082872928,0.2596685082872928,0.19429097605893186,0.3305709023941068,0.055248618784530384,0.9438305709023941,0.0009208103130755065
interval_vector_distance:serial,interval_vector_distance,IV distance,serial,False,positive favors constraint reranking,914,57.11925601750547,56.38512035010941,-0.7341356673960613,0.7341356673960613,0.43216630196936545,1.0798960612691462,0.028446389496717725,0.9715536105032823,0.0
row_order_accuracy:serial,row_order_accuracy,Row accuracy,serial,True,positive favors constraint reranking,914,0.15283515835640776,0.23326306757534182,0.08042790921893404,0.08042790921893404,0.07378087886457224,0.08711633566591645,0.6717724288840262,0.23413566739606126,0.09409190371991247
aggregate_completion_rate:all,aggregate_completion_rate,Aggregate,all,True,positive favors constraint reranking,2000,0.663375,0.6595833333333334,-0.003791666666666667,-0.003791666666666667,-0.005666666666666666,-0.0020416666666666665,0.0125,0.9565,0.031
aggregate_completion_rate:serial,aggregate_completion_rate,Aggregate,serial,True,positive favors constraint reranking,914,0.9965353756382201,0.988694383661561,-0.007840991976659373,-0.007840991976659373,-0.011761487964989058,-0.00437636761487965,0.0,0.9715536105032823,0.028446389496717725
aggregate_completion_rate:non-serial,aggregate_completion_rate,Aggregate (diagnostic),non-serial,,raw reranked minus single; no favorable direction specified,1086,0.38298035604665437,0.3825966850828729,-0.00038367096378146096,,-0.001688152240638429,0.0009975445058317987,,,
rhythmic_profile_distance:all,rhythmic_profile_distance,Rhythm distance,all,False,positive favors constraint reranking,2000,0.8874575977995992,0.8309478629939258,-0.05650973480567336,0.05650973480567336,0.049915701364725826,0.06348698656084016,0.528,0.2935,0.1785
density_curve_error:all,density_curve_error,Density error,all,False,positive favors constraint reranking,2000,5.981204050555825,5.735576398789883,-0.24562765176594256,0.24562765176594256,0.22126012218296529,0.27067168066017333,0.528,0.2935,0.1785
gesture_consistency_score:all,gesture_consistency_score,Gesture score,all,True,positive favors constraint reranking,2000,0.5235640155368713,0.5561233779808192,0.032559362443948074,0.032559362443948074,0.028483329654250246,0.036831133521721085,0.4975,0.2565,0.246
range_violation_rate:all,range_violation_rate,Range violation,all,False,positive favors constraint reranking,2000,0.00041943964714182534,8.123806483907104e-05,-0.0003382015823027543,0.0003382015823027543,0.00017364759234333625,0.0005094245790146097,0.012,0.9865,0.0015
