experiment,split,target_pcset_coverage,pcset_precision,pcset_jaccard,interval_vector_distance,row_order_accuracy,aggregate_completion_rate,serial_transformation_accuracy,rhythmic_profile_distance,density_curve_error,gesture_consistency_score,range_violation_rate,content_span_ratio,voice_count_adherence
proposed_constraint_guided_transformer,test,0.9998507908087139,1.0,0.9998507908087139,0.004476275738585497,0.24113495902386978,0.996885617214043,0.0,0.5041416728682816,12.235264758706093,0.49373756576765254,0.0,0.519545884800963,1.0
vanilla_transformer,test,0.9962548492987168,0.9936607409302127,0.9899155902289295,0.23903312444046554,0.15805786166878735,0.9949037372593431,0.0,0.5112644598409534,12.350054270818829,0.4771822717041908,0.0,0.5023681344263375,1.0
transformer_no_constraints,test,0.7096985974336019,0.4970136846144008,0.4065502834974634,24.49776186213071,0.08378803895710472,0.5941864854662137,0.0,0.5884957805089652,13.921556402146816,0.40137067409101873,0.0,0.4663507011217949,1.0
without_pcset_constraints,test,0.5592808116980006,0.5614550027710279,0.42411617776434246,6.626678603401969,0.14360867483380688,0.9950924877312193,0.0,0.5118532875701786,12.319224002808333,0.47536366847673484,0.0,0.5043406318941476,0.9999375
without_serial_constraints,test,0.9962697702178455,0.9927761435818732,0.9890459137997186,0.270367054610564,0.08043003749265454,0.9971687429218573,0.0,0.5114266190975905,12.357599374860525,0.477356942522356,0.0,0.5009463211701493,1.0
without_rhythm_constraints,test,0.9970904207699194,0.9932195080359807,0.9903525600034105,0.22023276633840644,0.1513405031878034,0.9981124952812382,0.0,0.5803056334927678,13.605646845340729,0.47852098032910456,0.0,0.47453148539828227,1.0
without_gesture_constraints,test,0.9944792599224113,0.9961099032271816,0.9905891631495929,0.21754700089525514,0.155878931107111,0.9946206115515289,0.0,0.5126755718588829,12.977185007452965,0.38180048267544453,0.0,0.49907353883096073,1.0
serial_only,test,0.5696210086541331,0.5642238990493242,0.4325042534308425,6.610564010743062,0.08735202456873377,0.9972631181577954,0.0,0.5852093450687825,13.94258092546463,0.3878792485909377,0.0,0.46118516895430955,1.0
pcset_only,test,0.9959116681587585,0.9935797416549431,0.9894914098137017,0.24350940017905104,0.08167171499136879,0.9973574933937335,0.0,0.593593773022294,14.074848174840211,0.3984425283276765,0.0,0.45145646805451495,1.0
rhythm_only,test,0.7513428827215757,0.4836397612136198,0.40993872088321504,28.226499552372427,0.08123178422168251,0.6696866742166856,0.0,0.5088106565624475,12.973650774881243,0.3830848218092372,0.0,0.4862940972222222,1.0
gesture_only,test,0.748552670844524,0.48330601061129264,0.40617897222642074,28.263205013428827,0.08376957670892347,0.6483578708946772,0.0,0.5802020776942373,13.579167306423187,0.4768893826964642,0.0,0.4764311362248862,0.9999375
no_constraints,test,0.7263652641002686,0.49318947241955297,0.41046592669242626,25.550581915846017,0.08696695838225746,0.6019252548131371,0.0,0.5766930796280503,13.78707903277874,0.3849870983774229,0.0,0.5109103650689588,1.0
rule_baseline,test,0.9987764846314533,1.0,0.9987764846314533,0.025962399283795883,1.0,0.9957531143827859,0.9818799546998868,0.30207275854051113,2.926311562359333,0.5683297296839196,0.0,0.9986311738608613,1.0
