endpoint,metric,label,subset,higher_is_better,effect_orientation,n,single_mean,reranked_mean,raw_difference_reranked_minus_single,favorable_improvement,ci95_low,ci95_high,win_rate,tie_rate,loss_rate
pcset_coverage:all,pcset_coverage,PC coverage,all,True,positive favors constraint reranking,2000,0.9954416666666666,0.9951916666666666,-0.00025000000000000017,-0.00025000000000000017,-0.0020916666666666666,0.0014499999999999995,0.013,0.977,0.01
pcset_coverage:non-serial,pcset_coverage,PC coverage,non-serial,True,positive favors constraint reranking,1086,0.9945825659914059,0.9993247391037449,0.0047421731123388575,0.0047421731123388575,0.0028391651319828112,0.006798649478207489,0.02394106813996317,0.9751381215469613,0.0009208103130755065
pcset_coverage:serial,pcset_coverage,PC coverage,serial,True,positive favors constraint reranking,914,0.9964624361779723,0.9902808169219548,-0.006181619256017506,-0.006181619256017506,-0.009409646243617793,-0.0033916849015317285,0.0,0.9792122538293216,0.020787746170678335
interval_vector_distance:all,interval_vector_distance,IV distance,all,False,positive favors constraint reranking,2000,26.243,25.7355,-0.5075,0.5075,0.364,0.6655124999999998,0.0455,0.954,0.0005
interval_vector_distance:non-serial,interval_vector_distance,IV distance,non-serial,False,positive favors constraint reranking,1086,0.2716390423572744,0.016574585635359115,-0.2550644567219153,0.2550644567219153,0.19244935543278086,0.32228360957642727,0.0570902394106814,0.9419889502762431,0.0009208103130755065
interval_vector_distance:serial,interval_vector_distance,IV distance,serial,False,positive favors constraint reranking,914,57.10175054704595,56.294310722100654,-0.8074398249452954,0.8074398249452954,0.5153172866520788,1.1378555798687089,0.03172866520787746,0.9682713347921226,0.0
row_order_accuracy:serial,row_order_accuracy,Row accuracy,serial,True,positive favors constraint reranking,914,0.15804709221610858,0.23496711298206938,0.07692002076596083,0.07692002076596083,0.07053591593003068,0.08327579519898305,0.6542669584245077,0.2538293216630197,0.09190371991247265
aggregate_completion_rate:all,aggregate_completion_rate,Aggregate,all,True,positive favors constraint reranking,2000,0.663375,0.6597083333333332,-0.0036666666666666666,-0.0036666666666666666,-0.005166666666666666,-0.00225,0.0125,0.9545,0.033
aggregate_completion_rate:serial,aggregate_completion_rate,Aggregate,serial,True,positive favors constraint reranking,914,0.9962618526622902,0.9891502552881107,-0.007111597374179431,-0.007111597374179431,-0.01012035010940919,-0.00437636761487965,0.0,0.9682713347921226,0.03172866520787746
aggregate_completion_rate:non-serial,aggregate_completion_rate,Aggregate (diagnostic),non-serial,,raw reranked minus single; no favorable direction specified,1086,0.3832105586249232,0.38244321669736037,-0.0007673419275629219,,-0.0019950890116635974,0.00046040515653775384,,,
rhythmic_profile_distance:all,rhythmic_profile_distance,Rhythm distance,all,False,positive favors constraint reranking,2000,0.8711924240365625,0.8159203469306231,-0.055272077105939385,0.055272077105939385,0.049300979156419636,0.06180401370357722,0.5135,0.3005,0.186
density_curve_error:all,density_curve_error,Density error,all,False,positive favors constraint reranking,2000,5.889555218338966,5.656331068336963,-0.23322415000200272,0.23322415000200272,0.2082221405245364,0.2583502084590495,0.5135,0.3005,0.186
gesture_consistency_score:all,gesture_consistency_score,Gesture score,all,True,positive favors constraint reranking,2000,0.5246070113308134,0.553546085279046,0.02893907394823261,0.02893907394823261,0.024851806193726584,0.03297289195549988,0.4835,0.266,0.2505
range_violation_rate:all,range_violation_rate,Range violation,all,False,positive favors constraint reranking,2000,0.0005513333972720387,8.54296066252588e-05,-0.0004659037906467799,0.0004659037906467799,0.0002717746910601727,0.0006855764815903273,0.013,0.986,0.001
