endpoint,metric,label,subset,effect_orientation,n_seeds,n_conditions_per_seed,seed_42_mean,seed_43_mean,seed_44_mean,mean_effect,sample_sd_across_seed_means,crossed_bootstrap_ci95_low,crossed_bootstrap_ci95_high,positive_seed_count
pcset_coverage:all,pcset_coverage,PC coverage,all,positive favors constraint reranking,3,2000,-0.001341666666666667,-0.0011750000000000003,0.0003666666666666664,-0.000716666666666667,0.0009418878796214429,-0.0026944444444444446,0.0011697222222222178,1
pcset_coverage:non-serial,pcset_coverage,PC coverage,non-serial,positive favors constraint reranking,3,1086,0.0028852056476365868,0.005233271945979128,0.004650092081031307,0.004256189891549008,0.0012225886620250586,0.002307141395539185,0.006430325352977285,3
pcset_coverage:serial,pcset_coverage,PC coverage,serial,positive favors constraint reranking,3,914,-0.0063639679066374915,-0.008789204959883296,-0.004722830051057622,-0.00662533430585947,0.0020457481567298184,-0.010679704595185994,-0.003294280330658889,0
interval_vector_distance:all,interval_vector_distance,IV distance,all,positive favors constraint reranking,3,2000,0.391,0.4765,0.3855,0.4176666666666667,0.051025320511813854,0.295,0.5611749999999999,3
interval_vector_distance:non-serial,interval_vector_distance,IV distance,non-serial,positive favors constraint reranking,3,1086,0.16390423572744015,0.2596685082872928,0.19060773480662985,0.2047268262737876,0.04941872653785115,0.13720073664825047,0.2777777777777778,3
interval_vector_distance:serial,interval_vector_distance,IV distance,serial,positive favors constraint reranking,3,914,0.6608315098468271,0.7341356673960613,0.6170678336980306,0.6706783369803064,0.05915183365826377,0.42304886943836617,0.959527716994894,3
row_order_accuracy:serial,row_order_accuracy,Row accuracy,serial,positive favors constraint reranking,3,914,0.07999579510672256,0.08042790921893404,0.08411842065059713,0.08151404165875124,0.0022657831099576215,0.07560485250999487,0.08747470543021564,3
aggregate_completion_rate:all,aggregate_completion_rate,Aggregate,all,positive favors constraint reranking,3,2000,-0.0029583333333333336,-0.003791666666666667,-0.0026666666666666666,-0.003138888888888889,0.0005838291543606586,-0.004722222222222221,-0.001763888888888889,0
aggregate_completion_rate:serial,aggregate_completion_rate,Aggregate,serial,positive favors constraint reranking,3,914,-0.0057439824945295405,-0.007840991976659373,-0.006199854121079504,-0.006594942864089473,0.0011029204541468552,-0.009664478482859227,-0.003981278871869682,0
aggregate_completion_rate:non-serial,aggregate_completion_rate,Aggregate (diagnostic),non-serial,raw reranked minus single; no favorable direction specified,3,1086,-0.0006138735420503375,-0.00038367096378146096,0.000306936771025169,-0.00023020257826887646,0.0004792048801717617,-0.001330059341109065,0.0008952322488234092,
rhythmic_profile_distance:all,rhythmic_profile_distance,Rhythm distance,all,positive favors constraint reranking,3,2000,0.045308399628847834,0.05650973480567336,0.05024948350340128,0.05068920597930749,0.005613599052992657,0.04387442237166688,0.05830237593178948,3
density_curve_error:all,density_curve_error,Density error,all,positive favors constraint reranking,3,2000,0.21315809428691865,0.24562765176594256,0.2246545899361372,0.22781344532966616,0.016463651365017103,0.20211174420416356,0.2544608598433435,3
gesture_consistency_score:all,gesture_consistency_score,Gesture score,all,positive favors constraint reranking,3,2000,0.030852737257045983,0.032559362443948074,0.03189695840045037,0.03176968603381481,0.000860401693178199,0.028255156628643367,0.035308829363863155,3
range_violation_rate:all,range_violation_rate,Range violation,all,positive favors constraint reranking,3,2000,0.00022610577169484888,0.0003382015823027543,0.0004683804765610595,0.00034422927685288755,0.00012124977517791382,0.0001805435416903401,0.0005569483517627933,3
